Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - English I + II,% Meets Grade Level - Algebra I,Growth Score,SAT/ACT Participation Rate,Average SAT Total Score,Average ACT Total Score,AP/IB Participation Rate,AP/IB Pass Rate,Graduation Rate,Student Achievement Grade,Campus Performance Grade,Growth Grade,College Readiness Grade,C@R Grade,State Rank
220905082,TEXAS ACADEMY OF BIOMEDICAL,FORT WORTH ISD,TARRANT COUNTY,9-12,N,NO,385,14.5,7.3,62.3,13.5,60.5,2.9,88.2,NA,52.1,100.0,1456,22.3,46.1,34.2,95%,A,A,B,A,A+,24
101912345,EAST EARLY COLLEGE H S,HOUSTON ISD,HARRIS COUNTY,9-12,N,YES,488,1.0,3.5,93.9,1.2,88.9,2.5,93.8,80.0,53.8,100.0,1461,19.9,32.1,34.3,99%,A,A,B,A,A+,25
71902015,TRANSMOUNTAIN EARLY COLLEGE H S,EL PASO ISD,EL PASO COUNTY,9-12,N,NO,445,4.5,2.5,79.6,11.5,55.5,3.4,90.8,87.3,60.4,98.9,1396,20.7,0.0,0.0,94%,A,A,A,B,A+,26
227901028,RICHARDS SCH FOR YOUNG WOMEN LEADERS,AUSTIN ISD,TRAVIS COUNTY,6-12,N,NO,785,6.8,2.5,65.1,21.4,55.5,1.1,90.0,79.0,51.0,100.0,1639,23.9,99.3,52.2,98%,A,A,C,A,A+,27
71909007,MISSION EARLY COLLEGE H S,SOCORRO ISD,EL PASO COUNTY,9-12,N,NO,459,0.4,1.5,96.3,1.7,71.7,4.2,88.3,85.9,53.6,100.0,1477,22.9,17.4,7.9,98%,A,A,B,A,A+,28
165901006,EARLY COLLEGE H S AT MIDLAND COLLEGE,MIDLAND ISD,MIDLAND COUNTY,9-12,N,NO,310,1.9,2.3,73.9,19.0,41.9,4.8,80.7,96.2,63.6,100.0,1406,20.6,0.0,0.0,97%,A,A,A,B,A+,29
15907022,TRAVIS EARLY COLLEGE H S,SAN ANTONIO ISD,BEXAR COUNTY,9-12,N,NO,433,2.1,0.0,93.8,4.2,68.4,3.6,94.4,73.2,62.3,100.0,1426,19.6,18.7,42.1,96%,A,A,A,A,A+,30
57905034,BOOKER T WASHINGTON SPVA MAGNET,DALLAS ISD,DALLAS COUNTY,9-12,N,YES,929,20.6,2.5,27.2,47.6,24.2,3.1,92.5,83.2,58.3,100.0,1597,24.0,92.6,67.9,92%,A,A,A,A,A+,31
57905037,ROSIE SORRELLS EDUCATION AND SOCIAL SERVICES H S,DALLAS ISD,DALLAS COUNTY,9-12,N,YES,333,29.4,1.5,65.8,3.0,79.3,2.1,93.6,72.2,54.5,100.0,1372,19.4,89.6,34.9,100%,A,A,B,A,A+,32
101919021,SPRING EARLY COLLEGE ACADEMY,SPRING ISD,HARRIS COUNTY,9-12,N,NO,384,27.6,8.3,50.5,12.5,64.6,4.3,87.3,80.8,56.3,100.0,1365,19.1,6.8,91.7,98%,A,A,A,A,A+,33
108912008,JIMMY CARTER EARLY COLLEGE H S,LA JOYA ISD,HIDALGO COUNTY,9-12,N,NO,354,0.0,0.0,99.7,0.3,97.7,6.9,77.5,95.1,63.0,100.0,0,17.8,0.0,0.0,97%,A,A,A,C,A+,34
101912081,SHARPSTOWN INTERNATIONAL SCHOOL,HOUSTON ISD,HARRIS COUNTY,6-12,N,YES,1061,8.2,7.4,81.7,2.5,93.0,3.6,78.7,94.2,56.4,100.0,1236,18.2,52.8,53.1,85%,A,A,A,B,A+,35
70912004,WAXAHACHIE GLOBAL H S,WAXAHACHIE ISD,ELLIS COUNTY,9-12,N,NO,418,5.5,1.7,23.4,64.6,25.8,5.8,90.1,94.7,58.3,95.6,1541,22.8,0.0,0.0,92%,A,A,A,B,A+,36
