Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - Reading,% Meets Grade Level - Math,Growth Score,Student Achievement Grade,Campus Performance Grade,Growth Grade,C@R Grade,State Rank
15912101,SOUTHWEST EL,SOUTHWEST ISD,BEXAR COUNTY,EE-5,N,NO,599,1.8,0.0,89.6,6.8,74.3,16.4,36.7,58.1,55.7,C,B,A,B-,1265
71907101,CANUTILLO EL,CANUTILLO ISD,EL PASO COUNTY,PK-5,N,NO,582,0.2,0.0,97.8,1.5,86.6,9.4,46.8,50.7,49.4,C,B,D,B-,1266
15831003,SCHOOL OF SCIENCE AND TECHNOLOGY ADVANCEMENT,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,HARRIS COUNTY,KG-8,Y,NO,238,49.6,11.3,23.5,13.0,73.9,0.0,42.1,53.4,54.7,C,B,B,B-,1267
159901122,PERFECTO MANCHA EL,EAGLE PASS ISD,MAVERICK COUNTY,1-6,N,NO,534,0.0,0.0,98.7,0.6,82.0,11.1,34.3,56.7,59.7,C,B,A,B-,1268
212905103,BIRDWELL EL,TYLER ISD,SMITH COUNTY,EE-5,N,NO,537,15.6,0.0,74.9,8.2,81.9,13.0,40.6,52.7,56.2,C,B,A,B-,1269
126902102,FRAZIER EL,BURLESON ISD,JOHNSON COUNTY,EE-5,N,NO,559,7.0,2.3,16.8,68.7,42.6,16.0,52.0,52.5,54.2,B,B,B,B-,1270
170902101,ANDERSON EL,CONROE ISD,MONTGOMERY COUNTY,EE-4,N,NO,653,5.2,0.6,78.3,13.9,81.9,16.8,42.4,50.4,57.0,C,B,A,B-,1271
47902101,DE LEON EL,DE LEON ISD,COMANCHE COUNTY,EE-5,N,NO,361,0.6,0.6,34.6,62.3,65.4,19.4,49.7,46.7,56.0,C,B,A,B-,1272
220914102,JAMES F DELANEY EL,KENNEDALE ISD,TARRANT COUNTY,EE-4,N,NO,703,14.5,4.1,28.3,47.4,41.3,13.3,54.0,53.3,50.5,B,B,C,B-,1273
57905195,PRESTON HOLLOW EL,DALLAS ISD,DALLAS COUNTY,PK-5,N,NO,476,10.9,1.9,77.3,9.5,82.8,12.7,41.3,55.0,51.6,C,B,C,B-,1274
71907105,GONZALO AND SOFIA GARCIA EL,CANUTILLO ISD,EL PASO COUNTY,PK-5,N,NO,450,0.0,0.0,94.7,4.9,60.0,9.1,52.3,49.1,50.9,B,B,C,B-,1275
71902147,ZACH WHITE EL,EL PASO ISD,EL PASO COUNTY,EE-5,N,NO,435,1.4,0.0,80.2,17.7,48.0,8.9,51.5,52.7,52.0,B,B,C,B-,1276
101915111,LEMM EL,KLEIN ISD,HARRIS COUNTY,EE-5,N,NO,695,12.9,12.8,29.8,40.7,23.2,13.5,55.6,56.8,53.0,B,B,B,B-,1277
