Campus ID,Campus Name,District,County,Grade Range,Charter?,Magnet?,Enrollment,% African American,% Asian,% Hispanic,% White,% Eco Dis,Mobility Rate,% Meets Grade Level - Reading,% Meets Grade Level - Math,Growth Score,Student Achievement Grade,Campus Performance Grade,Growth Grade,C@R Grade,State Rank,Regional Rank
246913106,LOIS F GIDDENS EL,LEANDER ISD,WILLIAMSON COUNTY,EE-5,N,NO,533,4.5,3.0,39.0,46.7,36.8,7.9,39.8,35.1,47.1,D,F,F,D,3502,221
227901166,WILLIAMS EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,458,5.2,2.2,77.5,11.6,77.5,16.4,31.1,33.5,44.2,D,F,F,D,3549,222
227901178,JORDAN EL,AUSTIN ISD,TRAVIS COUNTY,EE-6,N,NO,712,17.1,0.0,80.5,1.0,87.9,20.0,25.3,32.8,51.7,F,F,C,D,3558,223
227901118,HARRIS EL,AUSTIN ISD,TRAVIS COUNTY,EE-6,N,NO,614,11.7,4.2,80.8,2.0,95.3,22.6,28.6,30.0,48.7,F,F,D,D,3614,224
227803102,REAL LEARNING ACADEMY,WAYSIDE SCHOOLS,TRAVIS COUNTY,PK-5,Y,NO,686,5.7,1.0,83.1,8.5,63.7,11.3,29.1,35.0,47.4,D,F,F,D,3615,225
227817101,CEDARS INTERNATIONAL ACADEMY,CEDARS INTERNATIONAL ACADEMY,TRAVIS COUNTY,PK-7,Y,NO,371,15.9,0.0,78.7,3.2,76.0,15.6,30.7,34.5,40.9,D,F,F,D,3638,226
105902108,MENDEZ EL,SAN MARCOS CISD,HAYS COUNTY,KG-5,N,NO,574,6.4,0.7,81.7,10.6,79.6,23.1,33.3,26.7,46.6,D,F,F,D-,3680,227
246905001,GRANGER SCHOOL,GRANGER ISD,WILLIAMSON COUNTY,EE-12,N,NO,430,2.8,0.0,44.2,51.2,59.3,12.5,32.6,33.7,43.8,D,F,F,D-,3685,228
227910101,POPHAM EL,DEL VALLE ISD,TRAVIS COUNTY,EE-5,N,NO,772,3.6,0.8,87.2,5.7,89.0,16.0,24.4,35.5,45.2,F,F,F,D-,3690,229
227805101,TEXAS EMPOWERMENT ACADEMY EL,TEXAS EMPOWERMENT ACADEMY,TRAVIS COUNTY,KG-2,Y,NO,214,85.5,0.0,11.2,0.0,64.5,22.3,34.3,25.5,50.2,F,F,C,D-,3719,230
227907104,DECKER EL,MANOR ISD,TRAVIS COUNTY,KG-5,N,NO,517,13.0,0.4,83.8,1.9,97.3,21.8,21.9,36.7,44.3,F,F,F,D-,3755,231
227904104,NORTHWEST EL,PFLUGERVILLE ISD,TRAVIS COUNTY,EE-5,N,NO,529,26.8,11.0,40.6,16.3,70.9,25.5,33.5,27.9,44.2,D,F,F,D-,3760,232
28902101,CLEAR FORK EL,LOCKHART ISD,CALDWELL COUNTY,KG-5,N,NO,488,1.0,0.4,63.1,32.8,58.4,13.5,32.0,33.1,43.1,D,F,F,D-,3778,233
246913124,OFFICER LEONARD A REED EL,LEANDER ISD,WILLIAMSON COUNTY,EE-5,N,NO,746,6.8,7.2,51.9,29.0,48.8,11.1,36.9,28.9,45.8,D,F,F,D-,3792,234
227901149,BARRINGTON EL,AUSTIN ISD,TRAVIS COUNTY,EE-6,N,NO,542,9.2,1.5,85.6,2.4,77.5,21.7,21.8,36.2,46.6,F,F,F,D-,3794,235
227821101,AUSTIN DISCOVERY SCH,AUSTIN DISCOVERY SCHOOL,TRAVIS COUNTY,KG-8,Y,NO,556,2.2,1.3,23.9,65.1,11.7,12.1,51.4,27.9,47.4,D,F,F,D-,3797,236
227910111,CREEDMOOR EL,DEL VALLE ISD,TRAVIS COUNTY,EE-5,N,NO,700,1.4,0.0,88.0,9.6,94.1,12.8,23.7,34.3,43.9,F,F,F,D-,3802,237
227816101,HARMONY SCHOOL OF EXCELLENCE - AUSTIN,HARMONY SCIENCE ACADEMY (AUSTIN),TRAVIS COUNTY,KG-12,Y,NO,578,4.8,1.2,86.5,6.4,77.7,13.2,25.2,29.5,51.3,F,F,C,D-,3803,238
227901141,WALNUT CREEK EL,AUSTIN ISD,TRAVIS COUNTY,EE-6,N,NO,603,9.1,2.7,79.6,7.0,82.8,20.3,22.2,30.0,53.7,F,F,B,D-,3809,239
105902105,TRAVIS EL,SAN MARCOS CISD,HAYS COUNTY,KG-5,N,NO,643,5.6,0.8,69.4,22.6,79.3,23.1,30.0,29.4,43.5,F,F,F,D-,3820,240
227910109,HORNSBY-DUNLAP EL,DEL VALLE ISD,BASTROP COUNTY,EE-5,N,NO,594,17.5,0.5,70.2,9.9,90.6,18.1,24.6,31.7,46.3,F,F,F,D-,3821,241
246913116,JIM PLAIN EL,LEANDER ISD,WILLIAMSON COUNTY,EE-5,N,NO,710,5.6,1.3,29.7,56.8,26.3,12.9,42.1,31.9,43.9,D,F,F,D-,3835,242
227901139,SIMS EL,AUSTIN ISD,TRAVIS COUNTY,EE-6,N,NO,231,38.1,0.0,55.8,3.9,92.6,23.5,20.5,34.5,47.5,F,F,F,D-,3838,243
227901125,OAK SPRINGS EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,324,29.0,1.2,64.8,4.0,92.0,25.5,25.0,30.2,47.1,F,F,F,D-,3846,244
227910110,DEL VALLE EL,DEL VALLE ISD,TRAVIS COUNTY,EE-5,N,NO,801,9.9,1.2,81.9,5.9,85.0,16.2,26.7,30.4,44.8,F,F,F,D-,3849,245
15822009,JUBILEE WELLS BRANCH,JUBILEE ACADEMIES,TRAVIS COUNTY,PK-12,Y,NO,883,22.3,5.5,33.1,31.5,29.2,18.0,41.9,28.5,47.2,D,F,F,D-,3850,246
227901102,ANDREWS EL,AUSTIN ISD,TRAVIS COUNTY,EE-6,N,NO,572,13.6,2.6,80.6,1.9,93.9,22.7,29.8,25.1,47.0,F,F,F,D-,3854,247
105906108,SUSIE FUENTES EL,HAYS CISD,HAYS COUNTY,KG-5,N,NO,622,5.0,0.6,62.1,28.3,49.8,10.9,32.6,28.9,49.0,D,F,D,D-,3880,248
227901160,LINDER EL,AUSTIN ISD,TRAVIS COUNTY,1-5,N,NO,320,6.3,4.7,84.1,4.7,92.5,24.0,25.7,29.1,46.0,F,F,F,D-,3895,249
105906101,KYLE EL,HAYS CISD,HAYS COUNTY,EE-5,N,NO,680,1.6,1.2,60.3,32.6,46.0,10.4,32.8,31.1,46.6,D,F,F,D-,3903,250
105906103,TOM GREEN EL,HAYS CISD,HAYS COUNTY,EE-5,N,NO,721,2.8,1.7,74.1,19.0,59.8,13.4,27.7,30.3,49.4,F,F,D,D-,3905,251
227901176,GALINDO EL,AUSTIN ISD,TRAVIS COUNTY,EE-5,N,NO,588,4.8,0.5,86.4,7.1,84.9,21.2,28.9,28.3,43.0,F,F,F,D-,3910,252
