,gsId,name,city,state,address,lat,lon,type,gsRating,Zipcode
125,9423,Harmony Science Academy - Austin,Austin,TX,"930 East Rundberg Lane, 
Austin, TX  78753",30.357164,-97.684784,charter,4.0,78753
126,546,Harris Elementary School,Austin,TX,"1711 Wheless Lane, 
Austin, TX  78723",30.314829,-97.690765,public,5.0,78723
127,619,Hart Elementary School,Austin,TX,"8301 Furness Drive, 
Austin, TX  78753",30.342451,-97.68871,public,4.0,78753
128,10669,Headwaters School,Austin,TX,"801 Rio Grande Street, 
Austin, TX  78701",30.27195,-97.74842,private,7.0,78701
129,18838,Helping Hand,Austin,TX,"3804 Avenue B, 
Austin, TX  78751",30.302364,-97.73645,charter,,78751
130,547,Highland Park Elementary School,Austin,TX,"4900 Fairview Drive, 
Austin, TX  78731",30.330692,-97.76005,public,,78731
131,8055,Hill Country Christian School,Austin,TX,"12124 Ranch Rd 620 N, 
Austin, TX  78750",30.461445,-97.81817,private,9.0,78750
132,2203,Hill Country Middle School,Austin,TX,"1300 Walsh Tarlton Lane, 
Austin, TX  78746",30.27101,-97.80366,public,,78746
133,548,Hill Elementary School,Austin,TX,"8601 Tallwood Drive, 
Austin, TX  78759",30.376625,-97.74854,public,10.0,78759
134,2034,Hillcrest Elementary School,Austin,TX,"6910 East William Cannon Drive, 
Austin, TX  78744",30.16541,-97.729095,public,8.0,78744
135,10514,Holy Family Catholic School,Austin,TX,"9400 Neenah Avenue, 
Austin, TX  78717",30.489832,-97.76092,private,2.0,78717
136,7545,Holy Word Christian Academy,Austin,TX,"10601 Bluff Bend Drive, 
Austin, TX  78753",30.3685,-97.675385,private,,78753
137,24378,Hope Children's Center,Austin,TX,"11512 Olson Drive, 
Austin, TX  78750",30.445484,-97.806114,private,,78750
138,7492,Hope Lutheran School,Austin,TX,"6414 N Hampton Dr, 
Austin, TX  78723",30.31469,-97.6811,private,,78723
139,2036,Hornsby-Dunlap Elementary School,Austin,TX,"13901 North FM 620, 
Austin, TX  78717",30.475092,-97.7674,public,,78717
140,18785,House Sparrows Academy,Austin,TX,"8432 Jamestown Drive, 
Austin, TX  78758",30.355415,-97.709785,private,3.0,78758
