,Zipcode,Cnt,Rating
0,78613,341,1.0163934426229508
1,78617,285,0.8494783904619971
2,78652,16,0.04769001490312966
3,78653,48,0.14307004470938897
4,78660,179,0.533532041728763
5,78664,2,0.005961251862891207
6,78701,2076,6.187779433681073
7,78702,1582,4.715350223546944
8,78703,660,1.9672131147540983
9,78704,2557,7.621460506706407
10,78705,1134,3.3800298062593144
11,78712,7,0.020864381520119227
12,78717,305,0.9090909090909092
13,78719,165,0.4918032786885246
14,78721,515,1.535022354694486
15,78722,261,0.7779433681073025
16,78723,2041,6.083457526080477
17,78724,540,1.6095380029806259
18,78725,72,0.21460506706408344
19,78726,221,0.6587183308494784
20,78727,538,1.6035767511177348
21,78728,7,0.020864381520119227
22,78729,564,1.6810730253353203
23,78730,46,0.13710879284649777
24,78731,512,1.526080476900149
25,78732,1,0.0029806259314456036
26,78735,300,0.8941877794336811
27,78736,115,0.34277198211624443
28,78737,1,0.0029806259314456036
29,78739,151,0.4500745156482861
30,78741,3355,10.0
31,78742,58,0.17287630402384502
32,78744,1990,5.931445603576751
33,78745,2245,6.69150521609538
34,78746,826,2.461997019374069
35,78747,229,0.6825633383010432
36,78748,1372,4.089418777943369
37,78749,790,2.354694485842027
38,78750,340,1.0134128166915053
39,78751,914,2.7242921013412817
40,78752,1289,3.8420268256333827
41,78753,3134,9.341281669150522
42,78754,413,1.2309985096870344
43,78756,326,0.9716840536512668
44,78757,1074,3.201192250372578
45,78758,2499,7.4485842026825635
46,78759,1198,3.570789865871833
