,barName,Zip code,barRating,barlatitude,barlongitude
266,The Vortex,78722,4.0,30.2844663602444,-97.7175722159386
267,Contigo,78723,4.0,30.28804,-97.70335
268,King Bee Lounge,78702,4.5,30.2740546417273,-97.7197040731558
269,Salty Sow,78722,4.5,30.2836497259461,-97.7213180065155
270,BD Riley's Irish Pub at Mueller,78723,3.5,30.2982552810187,-97.7049514541841
271,Batch - Craft Beer and Kolaches,78723,4.5,30.2871694082172,-97.7031195536256
272,Dozen Street,78702,4.5,30.2738603,-97.7203803
273,Barrel O' Fun,78723,3.5,30.2981137997144,-97.7049248933204
274,Houndstooth Coffee,78702,4.0,30.2814468098981,-97.7095832100541
275,Moloko,78702,3.0,30.2738,-97.7201
276,Mi Madre's,78722,4.0,30.28412,-97.7189099
277,Knomad Bar,78723,4.0,30.312658,-97.704584
278,WhichCraft Tap Room & Bottle Shop,78723,4.5,30.2970963,-97.7043831
279,Barfly's,78751,4.5,30.3167018890381,-97.7141571044922
280,Carousel Lounge,78723,4.0,30.30988,-97.7082
281,BD Riley's Irish Pub at Mueller,78723,3.5,30.2982552810187,-97.7049514541841
282,Barrel O' Fun,78723,3.5,30.2981137997144,-97.7049248933204
283,Contigo,78723,4.0,30.28804,-97.70335
284,Turntable Eatery,78751,4.5,30.31281,-97.7150599
285,Halcyon,78723,3.5,30.29812,-97.70533
286,Stella Public House,78723,3.5,30.2978198875665,-97.7055143730163
287,Gino's Vino Osteria,78723,4.5,30.307265,-97.706995
288,L'Oca d'Oro,78723,4.0,30.297251,-97.704674
289,Lynx Bar and Grill,78723,3.0,30.31944,-97.70657
290,The Grand,78751,4.0,30.3060894012451,-97.7152328491211
291,J T Youngblood's,78723,3.5,30.2981255804541,-97.7055894748688
292,Batch - Craft Beer and Kolaches,78723,4.5,30.2871694082172,-97.7031195536256
293,Kick Butt Café,78752,4.0,30.3221788205653,-97.7138607718277
294,Captain Benny's Seafood,78751,3.0,30.317645,-97.70793
295,Cherrywood Coffeehouse,78722,4.0,30.29332,-97.71597
296,Oasthouse Kitchen + Bar,78726,4.0,30.4224100300212,-97.8465196011887
297,Nik's Italian Kitchen + Bar,78726,3.5,30.415176,-97.850097
298,Hideout Pub,78758,4.0,30.4125127501726,-97.7096274135108
299,Opal Divine's Marina,78727,3.5,30.42379,-97.70206
300,Texas Bar & Grill,78728,4.0,30.45037,-97.694688
301,Raggedy Anne's,78728,4.0,30.4359607696533,-97.6840057373047
302,Homer's Neighborhood Bar,78728,3.0,30.4356409178133,-97.6737805006219
303,Rack Daddy's,78728,3.5,30.43549,-97.6744
304,FD's Grillhouse,78660,3.5,30.443837,-97.666844
305,Austin's Park N Pizza,78660,2.5,30.46329,-97.666307
306,The Mill Bar & Grill,78729,5.0,30.45227,-97.78107
307,The Local Outpost Saloon,78729,4.5,30.445718,-97.778274
308,Marshall's Tavern,78729,5.0,30.443876,-97.775756
309,Shenanigans Night Club,78729,3.5,30.44644,-97.77896
310,Cover 2,78750,4.0,30.457156,-97.791483
311,The Water Tank,78729,3.0,30.434814453125,-97.7667236328125
312,Darband Hookah Lounge,78729,4.0,30.452406,-97.781062
313,The Little Longhorn Saloon,78756,4.5,30.329585,-97.740064
314,Boulevard Grill and Sports Bar,78731,3.5,30.355045,-97.755592
315,Taco Flats,78756,4.0,30.330914,-97.740225
316,Billy's on Burnet,78756,4.0,30.3220291137695,-97.7397613525391
317,Moon River Bar & Grill,78733,3.0,30.3257676051843,-97.8820037841797
318,Grumpy's Saloon,78734,3.0,30.37538,-97.94629
319,Sundancer Grill,78734,4.0,30.381445,-97.9596972
320,Boomerz,78735,3.5,30.2363456598715,-97.8561775190617
321,The Detour,78735,3.0,30.2335573,-97.8661206
322,Austin Pizza Garden,78735,3.5,30.2357725,-97.8590558
323,The Rusty Mule,78736,4.5,30.2312371513822,-97.927311988385
324,290 West Club,78737,3.5,30.2106547082446,-97.9688636691003
325,The Buzz Bee Cave,78738,4.5,30.3076183,-97.9377502
326,The Ginger Man,78738,2.5,30.30849,-97.93874
327,Meridian 98,78738,4.0,30.309514,-97.935608
328,Woody's Tavern & Grill,78738,3.0,30.3045361335771,-97.9421976143954
329,We Olive & Wine Bar,78738,4.0,30.3091309081911,-97.9404269098213
330,The Backyard at Bee Cave,78738,2.0,30.316137390965,-97.951433340037
331,Cafe Blue,78738,3.5,30.30918,-97.94027
332,Maudie's Hill Country,78738,3.0,30.304761430141,-97.9373935981999
333,Chili's,78738,2.5,30.3072418361908,-97.9393461849029
334,Buenos Aires Café - Galleria,78738,3.5,30.309195,-97.9389124
335,Emerald Restaurant,78738,3.5,30.30835,-97.9529699
336,Pintos Party,78664,3.5,30.52913,-97.683
337,Bike & Brew ATX,78702,5.0,30.25841,-97.71143
338,District Kitchen & Cocktails,78749,4.0,30.2014264170508,-97.8796087791679
339,Waterloo Ice House Escarpment,78749,3.0,30.20267,-97.87877
340,Satellite Eat Drink Orbit,78749,3.5,30.201602,-97.88007
341,The Jackalope South Shore,78741,3.0,30.2404842376709,-97.7261352539062
342,G Bar and Bistro,78744,4.0,30.2125737,-97.7053511
343,Texas Club Bar & Grill,78744,4.5,30.2119300039385,-97.7296185185185
344,Li'l Nonna's,78741,4.5,30.2416820526123,-97.7268676757812
345,Come and Take It Live,78741,3.5,30.24022,-97.72808
346,Mour Cafe,78741,4.0,30.2435537462959,-97.7287131894612
347,Clicks Billiards,78741,3.0,30.2300090789795,-97.7326126098633
348,Emo's,78741,3.0,30.24022,-97.72808
349,Club Carnaval,78741,3.0,30.2376556396484,-97.7265396118164
350,El Jacalito Restaurant,78741,3.0,30.2307,-97.73214
351,Café Crème,78741,4.5,30.23187,-97.73568
352,Patsy's Cafe,78741,3.5,30.21353,-97.72814
353,Carson Creek Ranch,78742,3.0,30.2286097,-97.6639062
354,Rusty Cannon Pub,78745,3.5,30.20985,-97.7820799
355,Aviator Pizza & Drafthouse,78745,4.5,30.19524,-97.7774
356,Austin Hookah Lounge,78745,4.0,30.22483,-97.8032
357,D K Sushi Restaurant,78745,3.5,30.200511932373,-97.7860488891602
358,Las Palomas Restaurant & Bar,78746,3.5,30.271881,-97.800071
359,Vaquero's Cafe and Cantina,78746,4.0,30.27087,-97.81717
360,Bike & Brew ATX,78702,5.0,30.25841,-97.71143
361,Pintos Party,78664,3.5,30.52913,-97.683
362,Indian Roller,78748,4.0,30.1720381977696,-97.8253055736423
363,Moontower Saloon,78748,3.5,30.1693172454834,-97.8266754150391
364,Sam's Town Point,78748,4.5,30.17206,-97.82759
365,Urban Coyote,78748,2.0,30.1707038879395,-97.8261260986328
366,400 Rabbits Bar,78739,3.5,30.199722,-97.869529
367,Chuy's,78749,3.5,30.217729,-97.841512
368,Happy Trails,78749,5.0,30.22135,-97.83949
369,Flores Mexican Restaurant,78749,3.0,30.2230527605093,-97.8428162365291
370,The Mill Bar & Grill,78729,5.0,30.45227,-97.78107
371,Cover 2,78750,4.0,30.457156,-97.791483
372,Anderson Mill Pub,78750,2.5,30.4465141296387,-97.8056259155273
373,Fresh Heim,78750,4.5,30.461817,-97.795588
374,Darband Hookah Lounge,78729,4.0,30.452406,-97.781062
375,Jenna's Asian Kitchen,78750,4.0,30.4629648622548,-97.8148166093191
376,Workhorse Bar,78751,4.0,30.31771,-97.721675
377,Barfly's,78751,4.5,30.3167018890381,-97.7141571044922
378,The Tigress Pub,78751,4.0,30.317891,-97.722182
379,Drink Well,78751,4.0,30.31728,-97.72062
380,Back Lot,78705,5.0,30.30189,-97.73936
381,Turntable Eatery,78751,4.5,30.31281,-97.7150599
382,Carousel Lounge,78723,4.0,30.30988,-97.7082
383,SquareRüt Kava Bar,78756,4.0,30.31866,-97.73144
384,The Grand,78751,4.0,30.3060894012451,-97.7152328491211
385,Vino Vino,78751,4.0,30.3069966,-97.7352997
386,Kick Butt Café,78752,4.0,30.3221788205653,-97.7138607718277
387,Texas Sake,78751,4.5,30.32317,-97.72758
388,Crown and Anchor Pub,78705,4.0,30.2924600026945,-97.7357137160887
389,Dolce Vita,78751,3.5,30.30489,-97.72621
390,The Parlor,78751,3.5,30.30873,-97.73406
391,Billy's on Burnet,78756,4.0,30.3220291137695,-97.7397613525391
392,BD Riley's Irish Pub at Mueller,78723,3.5,30.2982552810187,-97.7049514541841
393,Lynx Bar and Grill,78723,3.0,30.31944,-97.70657
394,Barrel O' Fun,78723,3.5,30.2981137997144,-97.7049248933204
395,Hyde Park Bar & Grill Central,78751,3.5,30.30419,-97.72668
396,Royal Jelly,78752,4.5,30.3391,-97.71703
397,Barfly's,78751,4.5,30.3167018890381,-97.7141571044922
398,Vigilante Gaming Bar,78752,4.0,30.3394025962971,-97.7183186262846
399,Workhorse Bar,78751,4.0,30.31771,-97.721675
400,The Tigress Pub,78751,4.0,30.317891,-97.722182
401,'Bout Time II,78752,3.5,30.32777,-97.70421
402,Black Star Co-op Pub & Brewery,78752,4.0,30.3381716531677,-97.7188450098038
403,Drink Well,78751,4.0,30.31728,-97.72062
404,Kick Butt Café,78752,4.0,30.3221788205653,-97.7138607718277
405,Ojos Locos Sports Cantina,78752,2.5,30.3370343798347,-97.7022547924471
406,101 By Teahaus,78752,4.0,30.33712,-97.71728
407,Pluckers,78752,2.5,30.323898,-97.707726
408,Yahala Hookah Lounge,78752,5.0,30.33109,-97.71513
409,Hi Tunes Karaoke,78757,4.5,30.3474284,-97.7149856
410,Austin Karaoke,78752,3.5,30.33611,-97.72068
411,Applebee's Grill + Bar,78752,2.0,30.337642,-97.70204
412,Captain Benny's Seafood,78751,3.0,30.317645,-97.70793
413,Chili's,78752,2.5,30.3278539667098,-97.7049051689876
414,Buffalo Wild Wings,78752,2.0,30.33784,-97.70175
415,Foreign & Domestic,78751,3.5,30.3171071,-97.7196383
416,College RoadHouse,78753,4.5,30.3646543475126,-97.6943624764681
417,Balkan Cafe & Grill,78753,4.5,30.3876,-97.68399
418,Los Catrachos,78753,3.5,30.3745727539062,-97.6718673706055
419,Chuy's,78753,4.0,30.3751687,-97.6905747
420,Zaytouna Lounge,78753,4.0,30.3876,-97.68399
421,M.I.2 Crew,78753,5.0,30.3889868,-97.6710889
422,Side Pocket Billiards,78753,2.5,30.37593,-97.6894499
423,Santorini Cafe,78753,4.5,30.3876,-97.68399
424,Desperados,78753,2.0,30.363748,-97.695249
425,Rawshe Hookah Lounge & Cafe,78753,3.0,30.38238,-97.68568
426,Los Catrachos,78753,3.5,30.3745727539062,-97.6718673706055
427,Boulevard Grill and Sports Bar,78731,3.5,30.355045,-97.755592
428,Lala's,78757,4.0,30.3446,-97.73649
429,Yard Bar,78757,4.0,30.34303,-97.73921
430,Growler Room,78757,4.5,30.34439,-97.73853
431,Pour House Pub,78757,3.5,30.34264,-97.738
432,The Aristocrat Lounge,78757,3.0,30.3402309,-97.7385864
433,Barley Swine,78757,4.5,30.3412737661652,-97.7383886364151
434,Jack Allen's Kitchen,78757,4.0,30.3612,-97.73943
