Zip code,Name,Rating,Lat,Lon
78613,1,10.0,30.477159999999998,-97.8152
78701,118,8.64406779661017,30.266576186291136,-97.74263429873885
78702,96,8.46875,30.26446966423347,-97.72358217439454
78703,49,7.714285714285714,30.282438397723354,-97.76188629189559
78704,77,8.220779220779221,30.240813458884727,-97.75814958367096
78705,218,7.6880733944954125,30.291033943518055,-97.74397953178982
78713,3,8.0,30.34967,-97.75083000000001
78715,2,2.0,30.21,-97.8
78716,2,10.0,30.2730463382523,-97.7986731951065
78717,11,7.7272727272727275,30.486446545038618,-97.77237379891432
78721,1,4.0,30.278370000000002,-97.67126999999999
78722,11,4.909090909090909,30.288075584889906,-97.71710491424005
78723,34,6.705882352941177,30.306541261233065,-97.69967653958653
78724,1,2.0,30.308329999999998,-97.6236
78726,12,5.333333333333333,30.427265911156493,-97.84274262292278
78727,8,6.375,30.431078739018062,-97.73261860765618
78728,19,4.7894736842105265,30.44695469532103,-97.68494577296849
78729,23,6.260869565217392,30.446201919840593,-97.77169304813202
78731,47,5.361702127659575,30.34478979426383,-97.75399405559736
78732,3,6.0,30.380343,-97.88212566666665
78733,2,6.0,30.330820000000003,-97.88426
78734,6,9.333333333333334,30.359884313362627,-97.9588495309896
78735,11,7.7272727272727275,30.249812704244462,-97.85926377724759
78736,1,4.0,30.23388,-97.91741999999999
78738,17,8.235294117647058,30.30983358006908,-97.94345214737304
78741,57,6.175438596491228,30.229951690619675,-97.73104225457972
78744,4,3.0,30.202911,-97.73698250000001
78745,43,7.186046511627907,30.208351296109747,-97.79658649096525
78746,38,8.210526315789474,30.271704545998798,-97.79810955047948
78748,12,5.0,30.175812923142498,-97.81857880799281
78749,30,8.066666666666666,30.219799575718813,-97.84970418327991
78750,16,6.8125,30.45149138325445,-97.79114080260491
78751,34,7.382352941176471,30.314815569797922,-97.72729012359822
78752,50,6.76,30.334024742175338,-97.70562400988703
78753,24,5.125,30.359112435741352,-97.6932767679776
78754,5,5.8,30.339834378689442,-97.67163790112842
78756,27,7.703703703703703,30.31850749290043,-97.74133775384037
78757,27,6.555555555555555,30.3566742240804,-97.73262793665005
78758,70,5.757142857142857,30.397802926899313,-97.70856714776531
78759,49,6.775510204081633,30.397518134377002,-97.74833808895963
78760,1,10.0,30.21322,-97.73255
78763,3,7.333333333333333,30.29721840576173,-97.76683688720702
78766,2,10.0,30.354640000000003,-97.73626999999999
78798,1,8.0,30.244887247681604,-97.72741265594959
