Zipcode,Cnt
78613,341
78617,285
78652,16
78653,48
78660,179
78664,2
78701,2076
78702,1582
78703,660
78704,2557
78705,1134
78712,7
78717,305
78719,165
78721,515
78722,261
78723,2041
78724,540
78725,72
78726,221
78727,538
78728,7
78729,564
78730,46
78731,512
78732,1
78735,300
78736,115
78737,1
78739,151
78741,3355
78742,58
78744,1990
78745,2245
78746,826
78747,229
78748,1372
78749,790
78750,340
78751,914
78752,1289
78753,3134
78754,413
78756,326
78757,1074
78758,2499
78759,1198
