,Zip Code,Restaurant Count,Restaurant Rating,Bar Count,Bar Rating,Club Count,Club Rating,Bar/Restaurant Count,Bar/Restaurant Rating,Total Nightlife Count,Combined Rating
0,73301,3.0,4.5,0.0,0.0,0.0,0.0,3.0,9.0,3.0,9.0
1,78617,1.0,4.0,2.0,3.0,0.0,0.0,3.0,6.666666666666667,3.0,6.666666666666667
2,78646,2.0,4.5,0.0,0.0,0.0,0.0,2.0,9.0,2.0,9.0
3,78660,4.0,3.125,2.0,3.0,0.0,0.0,6.0,6.166666666666667,6.0,6.166666666666667
4,78701,201.0,4.186567164179104,194.0,4.265463917525773,223.0,3.376681614349776,618.0,5.401294498381877,618.0,7.8381877022653725
5,78702,99.0,4.3686868686868685,106.0,4.367924528301887,14.0,4.071428571428571,219.0,8.178082191780822,219.0,8.698630136986301
6,78703,48.0,3.9270833333333335,19.0,3.8947368421052633,1.0,4.5,68.0,7.720588235294118,68.0,7.852941176470588
7,78704,42.0,4.345238095238095,34.0,3.8823529411764706,13.0,4.1923076923076925,89.0,7.067415730337078,89.0,8.292134831460674
8,78705,139.0,4.388489208633094,142.0,3.742957746478873,15.0,5.0,296.0,7.712837837837838,296.0,8.219594594594595
9,78717,19.0,3.263157894736842,3.0,3.8333333333333335,0.0,0.0,22.0,6.681818181818182,22.0,6.681818181818182
10,78719,11.0,2.8636363636363638,8.0,2.5625,0.0,0.0,19.0,5.473684210526316,19.0,5.473684210526316
11,78721,5.0,4.3,1.0,4.0,0.0,0.0,6.0,8.5,6.0,8.5
12,78722,22.0,4.4772727272727275,15.0,4.2,2.0,4.5,39.0,8.282051282051283,39.0,8.743589743589743
13,78723,32.0,3.984375,24.0,3.7916666666666665,0.0,0.0,56.0,7.803571428571429,56.0,7.803571428571429
14,78724,6.0,2.5,1.0,1.0,1.0,2.5,8.0,4.0,8.0,4.625
15,78726,15.0,3.6333333333333333,2.0,3.75,0.0,0.0,17.0,7.294117647058823,17.0,7.294117647058823
16,78727,14.0,3.642857142857143,2.0,3.5,0.0,0.0,16.0,7.25,16.0,7.25
17,78728,14.0,3.9285714285714284,4.0,3.625,0.0,0.0,18.0,7.722222222222222,18.0,7.722222222222222
18,78729,10.0,4.2,9.0,4.111111111111111,3.0,3.8333333333333335,22.0,7.181818181818182,22.0,8.227272727272727
19,78731,23.0,4.195652173913044,2.0,3.5,0.0,0.0,25.0,8.280000000000001,25.0,8.280000000000001
20,78732,8.0,3.6875,0.0,0.0,0.0,0.0,8.0,7.375,8.0,7.375
21,78733,1.0,4.0,1.0,3.0,0.0,0.0,2.0,7.0,2.0,7.0
22,78734,4.0,3.125,2.0,3.5,0.0,0.0,6.0,6.5,6.0,6.5
23,78735,19.0,3.736842105263158,6.0,3.3333333333333335,2.0,3.5,27.0,6.7407407407407405,27.0,7.2592592592592595
24,78736,6.0,4.083333333333333,1.0,4.5,0.0,0.0,7.0,8.285714285714286,7.0,8.285714285714286
25,78737,5.0,4.5,1.0,3.5,0.0,0.0,6.0,8.666666666666666,6.0,8.666666666666666
26,78738,20.0,3.875,11.0,3.272727272727273,0.0,0.0,31.0,7.32258064516129,31.0,7.32258064516129
27,78739,1.0,3.5,1.0,3.5,0.0,0.0,2.0,7.0,2.0,7.0
28,78741,33.0,4.151515151515151,23.0,3.4347826086956523,1.0,3.0,57.0,7.578947368421052,57.0,7.684210526315789
29,78744,38.0,3.8421052631578947,5.0,4.4,2.0,4.5,45.0,7.466666666666667,45.0,7.866666666666666
30,78745,49.0,4.122448979591836,12.0,4.0,0.0,0.0,61.0,8.19672131147541,61.0,8.19672131147541
31,78746,32.0,4.046875,3.0,3.6666666666666665,0.0,0.0,35.0,8.028571428571428,35.0,8.028571428571428
32,78747,1.0,2.5,0.0,0.0,0.0,0.0,1.0,5.0,1.0,5.0
33,78748,24.0,3.8958333333333335,4.0,3.5,0.0,0.0,28.0,7.678571428571429,28.0,7.678571428571429
34,78749,32.0,3.53125,9.0,3.7222222222222223,0.0,0.0,41.0,7.146341463414634,41.0,7.146341463414634
35,78750,31.0,3.9838709677419355,5.0,3.8,0.0,0.0,36.0,7.916666666666667,36.0,7.916666666666667
36,78751,24.0,4.333333333333333,38.0,3.8947368421052633,0.0,0.0,62.0,8.129032258064516,62.0,8.129032258064516
37,78752,53.0,4.122641509433962,41.0,3.402439024390244,2.0,3.0,96.0,7.458333333333333,96.0,7.583333333333333
38,78753,37.0,4.148648648648648,18.0,3.5833333333333335,1.0,5.0,56.0,7.785714285714285,56.0,7.9642857142857135
39,78754,10.0,4.15,0.0,0.0,0.0,0.0,10.0,8.3,10.0,8.3
40,78755,1.0,5.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,10.0
41,78756,93.0,4.225806451612903,59.0,3.940677966101695,0.0,0.0,152.0,8.230263157894736,152.0,8.230263157894736
42,78757,45.0,4.211111111111111,44.0,3.9318181818181817,0.0,0.0,89.0,8.146067415730338,89.0,8.146067415730338
43,78758,68.0,4.161764705882353,53.0,3.650943396226415,6.0,3.25,127.0,7.503937007874016,127.0,7.811023622047244
44,78759,41.0,4.085365853658536,16.0,3.8125,0.0,0.0,57.0,8.017543859649122,57.0,8.017543859649122
45,78798,2.0,4.0,0.0,0.0,1.0,2.0,3.0,5.333333333333333,3.0,6.666666666666667
46,78664,0.0,0.0,3.0,3.5,0.0,0.0,3.0,7.0,3.0,7.0
47,78713,0.0,0.0,2.0,4.5,0.0,0.0,2.0,9.0,2.0,9.0
48,78742,0.0,0.0,1.0,3.0,0.0,0.0,1.0,6.0,1.0,6.0
49,78765,0.0,0.0,0.0,0.0,4.0,5.0,4.0,0.0,4.0,10.0
50,78799,0.0,0.0,0.0,0.0,11.0,3.5,11.0,0.0,11.0,7.0
