,Restaurant_Name,Zip code,Restaurant_Rating,Restaurant_latitude,Restaurant_longitude
1248,Roaring Fork,78701,4.0,30.2691040039062,-97.7419586181641
1249,Second Bar + Kitchen,78701,4.0,30.2645939290629,-97.7444895054345
1250,Austin Taco Project,78701,4.0,30.26506,-97.73862
1251,CAVA,78701,5.0,30.26721,-97.74296
1252,Easy Tiger,78701,4.0,30.2658004760742,-97.7356872558594
1253,Corner,78701,4.0,30.264545,-97.74329
1254,Moonshine Patio Bar & Grill,78701,4.5,30.26386,-97.73796
1255,Stella San Jac,78701,4.0,30.2665762751589,-97.740525726058
1256,The Hightower,78702,4.0,30.264821,-97.729488
1257,The Backspace,78701,4.0,30.26685,-97.74043
1258,The Grub House,78701,4.5,30.2674408,-97.7368622
1259,True Food Kitchen,78701,4.5,30.2672474,-97.7520856
1260,Gus's World Famous Fried Chicken,78701,4.0,30.2634862,-97.7417305
1261,"Truluck's Seafood, Steak and Crab House",78701,4.5,30.26683,-97.74502
1262,Ramen Tatsu-Ya,78702,4.5,30.26326,-97.72624
1263,Eureka!,78701,4.0,30.2678427491661,-97.7412401139736
1264,Swift's Attic,78701,4.0,30.26563,-97.74337
1265,Parkside,78701,4.0,30.2670631408691,-97.7403259277344
1266,Sophia's,78701,4.0,30.26955,-97.74751
1267,Red Ash,78701,4.0,30.26588,-97.744672
1268,Olive & June,78703,4.0,30.30726,-97.75113
1269,Freedmen's,78705,4.0,30.288439,-97.747897
1270,Uchiko,78756,4.5,30.31067,-97.74
1271,CAVA,78705,4.5,30.2885622487397,-97.741684423978
1272,The Big Kahuna,78756,4.5,30.321166,-97.739538
1273,Hopfields,78705,4.0,30.2985538576336,-97.7409893637848
1274,The Beer Plant,78703,4.0,30.2965180811856,-97.7678042803603
1275,Don Japanese Kitchen,78705,4.5,30.29284,-97.7417399
1276,Stinson's,78756,4.0,30.3151275,-97.7417583
1277,Sushi Hi,78705,4.5,30.296,-97.74264
1278,Musashino Sushi Dokoro,78705,4.0,30.2980839,-97.7475817
1279,Cabo Bob's Burritos,78705,4.5,30.295789,-97.7442669
1280,Julie's Handmade Noodles,78705,4.0,30.290535,-97.744756
1281,Via 313 Pizza - North Campus,78705,4.5,30.2978794228869,-97.7415114110085
1282,Ceviche7,78705,5.0,30.29634,-97.74139
1283,Pinch,78705,4.5,30.2876780434401,-97.7427316687172
1284,Gusto Italian Kitchen & Wine Bar,78756,3.5,30.3183136593457,-97.7399416283112
1285,Hot Mess,78702,4.5,30.26212,-97.72452
1286,Billy's on Burnet,78756,4.0,30.3220291137695,-97.7397613525391
1287,Halal Bros,78705,4.0,30.2925128936768,-97.7416687011719
1288,Olive & June,78703,4.0,30.30726,-97.75113
1289,Freedmen's,78705,4.0,30.288439,-97.747897
1290,Uchiko,78756,4.5,30.31067,-97.74
1291,CAVA,78705,4.5,30.2885622487397,-97.741684423978
1292,The Big Kahuna,78756,4.5,30.321166,-97.739538
1293,Hopfields,78705,4.0,30.2985538576336,-97.7409893637848
1294,The Beer Plant,78703,4.0,30.2965180811856,-97.7678042803603
1295,Don Japanese Kitchen,78705,4.5,30.29284,-97.7417399
1296,Stinson's,78756,4.0,30.3151275,-97.7417583
1297,Sushi Hi,78705,4.5,30.296,-97.74264
1298,Musashino Sushi Dokoro,78705,4.0,30.2980839,-97.7475817
1299,Cabo Bob's Burritos,78705,4.5,30.295789,-97.7442669
1300,Julie's Handmade Noodles,78705,4.0,30.290535,-97.744756
1301,Via 313 Pizza - North Campus,78705,4.5,30.2978794228869,-97.7415114110085
1302,Ceviche7,78705,5.0,30.29634,-97.74139
1303,Pinch,78705,4.5,30.2876780434401,-97.7427316687172
1304,Gusto Italian Kitchen & Wine Bar,78756,3.5,30.3183136593457,-97.7399416283112
1305,Hot Mess,78702,4.5,30.26212,-97.72452
1306,Billy's on Burnet,78756,4.0,30.3220291137695,-97.7397613525391
1307,Halal Bros,78705,4.0,30.2925128936768,-97.7416687011719
1308,Salty Sow,78722,4.5,30.2836497259461,-97.7213180065155
1309,Chicken Lollypop,78702,5.0,30.27412,-97.72018
1310,Ramen Tatsu-Ya,78702,4.5,30.26326,-97.72624
1311,The Hightower,78702,4.0,30.264821,-97.729488
1312,Boteco,78702,5.0,30.26431,-97.72789
1313,Easy Tiger,78701,4.0,30.2658004760742,-97.7356872558594
1314,Revelry Kitchen + Bar,78702,4.5,30.2637173006037,-97.7277220894538
1315,Little Big Burger,78702,4.5,30.26263,-97.7248
1316,8 Track,78722,4.5,30.28511,-97.71164
1317,Contigo,78723,4.0,30.28804,-97.70335
1318,Juniper,78702,4.0,30.25486,-97.71762
1319,Bird Bird Biscuit,78722,4.5,30.28492,-97.71398
1320,Suerte,78702,4.0,30.26228,-97.72331
1321,DEE DEE,78702,4.5,30.25901,-97.71445
1322,Patrizi's,78722,4.5,30.2839715080976,-97.7172101465576
1323,Chi'Lantro,78702,5.0,30.26426,-97.73078
1324,Discada,78702,4.5,30.2686025800296,-97.7246335521341
1325,A Touch of Soul,78702,5.0,30.274121,-97.720185
1326,Galloway's Sandwich Shop,78702,4.5,30.27398,-97.71937
1327,Big Easy Bar and Grill,78702,4.0,30.2738255,-97.7204771
1328,Olive & June,78703,4.0,30.30726,-97.75113
1329,Freedmen's,78705,4.0,30.288439,-97.747897
1330,Uchiko,78756,4.5,30.31067,-97.74
1331,CAVA,78705,4.5,30.2885622487397,-97.741684423978
1332,The Big Kahuna,78756,4.5,30.321166,-97.739538
1333,Hopfields,78705,4.0,30.2985538576336,-97.7409893637848
1334,The Beer Plant,78703,4.0,30.2965180811856,-97.7678042803603
1335,Don Japanese Kitchen,78705,4.5,30.29284,-97.7417399
1336,Stinson's,78756,4.0,30.3151275,-97.7417583
1337,Sushi Hi,78705,4.5,30.296,-97.74264
1338,Musashino Sushi Dokoro,78705,4.0,30.2980839,-97.7475817
1339,Cabo Bob's Burritos,78705,4.5,30.295789,-97.7442669
1340,Julie's Handmade Noodles,78705,4.0,30.290535,-97.744756
1341,Via 313 Pizza - North Campus,78705,4.5,30.2978794228869,-97.7415114110085
1342,Ceviche7,78705,5.0,30.29634,-97.74139
1343,Pinch,78705,4.5,30.2876780434401,-97.7427316687172
1344,Gusto Italian Kitchen & Wine Bar,78756,3.5,30.3183136593457,-97.7399416283112
1345,Hot Mess,78702,4.5,30.26212,-97.72452
1346,Billy's on Burnet,78756,4.0,30.3220291137695,-97.7397613525391
1347,Halal Bros,78705,4.0,30.2925128936768,-97.7416687011719
1348,Olive & June,78703,4.0,30.30726,-97.75113
1349,Freedmen's,78705,4.0,30.288439,-97.747897
1350,Uchiko,78756,4.5,30.31067,-97.74
1351,CAVA,78705,4.5,30.2885622487397,-97.741684423978
1352,The Big Kahuna,78756,4.5,30.321166,-97.739538
1353,Hopfields,78705,4.0,30.2985538576336,-97.7409893637848
1354,The Beer Plant,78703,4.0,30.2965180811856,-97.7678042803603
1355,Don Japanese Kitchen,78705,4.5,30.29284,-97.7417399
1356,Stinson's,78756,4.0,30.3151275,-97.7417583
1357,Sushi Hi,78705,4.5,30.296,-97.74264
1358,Musashino Sushi Dokoro,78705,4.0,30.2980839,-97.7475817
1359,Cabo Bob's Burritos,78705,4.5,30.295789,-97.7442669
1360,Julie's Handmade Noodles,78705,4.0,30.290535,-97.744756
1361,Via 313 Pizza - North Campus,78705,4.5,30.2978794228869,-97.7415114110085
1362,Ceviche7,78705,5.0,30.29634,-97.74139
1363,Pinch,78705,4.5,30.2876780434401,-97.7427316687172
1364,Gusto Italian Kitchen & Wine Bar,78756,3.5,30.3183136593457,-97.7399416283112
1365,Hot Mess,78702,4.5,30.26212,-97.72452
1366,Billy's on Burnet,78756,4.0,30.3220291137695,-97.7397613525391
1367,Halal Bros,78705,4.0,30.2925128936768,-97.7416687011719
1368,Olive & June,78703,4.0,30.30726,-97.75113
1369,Freedmen's,78705,4.0,30.288439,-97.747897
1370,Uchiko,78756,4.5,30.31067,-97.74
1371,CAVA,78705,4.5,30.2885622487397,-97.741684423978
1372,The Big Kahuna,78756,4.5,30.321166,-97.739538
1373,Hopfields,78705,4.0,30.2985538576336,-97.7409893637848
1374,The Beer Plant,78703,4.0,30.2965180811856,-97.7678042803603
1375,Don Japanese Kitchen,78705,4.5,30.29284,-97.7417399
1376,Stinson's,78756,4.0,30.3151275,-97.7417583
1377,Sushi Hi,78705,4.5,30.296,-97.74264
1378,Musashino Sushi Dokoro,78705,4.0,30.2980839,-97.7475817
1379,Cabo Bob's Burritos,78705,4.5,30.295789,-97.7442669
1380,Julie's Handmade Noodles,78705,4.0,30.290535,-97.744756
1381,Via 313 Pizza - North Campus,78705,4.5,30.2978794228869,-97.7415114110085
1382,Ceviche7,78705,5.0,30.29634,-97.74139
1383,Pinch,78705,4.5,30.2876780434401,-97.7427316687172
1384,Gusto Italian Kitchen & Wine Bar,78756,3.5,30.3183136593457,-97.7399416283112
1385,Hot Mess,78702,4.5,30.26212,-97.72452
1386,Billy's on Burnet,78756,4.0,30.3220291137695,-97.7397613525391
1387,Halal Bros,78705,4.0,30.2925128936768,-97.7416687011719
